Time,    RMM1,    RMM2,    phase,    amplitude 
0015227, 0.9761559, 1.1695784, 6, 1.5234153
0015228, 0.5875311, 0.9813396, 6, 1.1437746
0015229, 0.2742117, 0.8872036, 6, 0.9286131
0015230, -0.2158409, 1.0781069, 7, 1.0995007
0015231, -0.6844860, 1.3843545, 7, 1.5443310
0015232, -0.7935703, 1.2368208, 7, 1.4695168
0015233, -0.9908801, 1.0359418, 7, 1.4335337
0015234, -1.0478921, 0.7520925, 8, 1.2898531
0015235, -1.3242753, 0.6762111, 8, 1.4869318
0015236, -1.4679971, 0.6233022, 8, 1.5948421
0015237, -1.3327130, 0.6040010, 8, 1.4631956
0015238, -1.4266367, 0.3424413, 8, 1.4671599
0015239, -1.6673075, -0.1711598, 1, 1.6760699
0015240, -1.9718090, -0.6012551, 1, 2.0614409
0015241, -2.0855830, -0.7999704, 1, 2.2337432
0015242, -2.2079580, -1.0935692, 1, 2.4639344
0015243, -2.2150493, -1.1918612, 1, 2.5153482
0015244, -1.9314975, -1.1346432, 1, 2.2401111
0015245, -1.7301954, -1.2057910, 1, 2.1089115
0015246, -1.3507243, -1.0222570, 1, 1.6939496
0015247, -1.1338680, -1.2035310, 2, 1.6535245
0015248, -1.1786654, -1.0016155, 1, 1.5467662
0015249, -1.4480784, -0.6023822, 1, 1.5683736
0015250, -1.6052078, -0.2495311, 1, 1.6244870
0015251, -1.4288172, -0.1847084, 1, 1.4407066
0015252, -1.3875172, -0.1311066, 1, 1.3936976
0015253, -1.3296784, -0.1356648, 1, 1.3365813
0015254, -1.2888548, -0.2333200, 1, 1.3098034
0015255, -1.1522260, -0.1882036, 1, 1.1674954
0015256, -1.1449795, -0.0280294, 1, 1.1453226
0015257, -1.1495869, 0.1456027, 8, 1.1587710
0015258, -0.9908025, 0.2582460, 8, 1.0239046
0015259, -1.0683497, 0.0816757, 8, 1.0714673
0015260, -1.2650899, -0.0772485, 1, 1.2674462
0015261, -1.2449181, -0.2452071, 1, 1.2688371
0015262, -1.0488926, -0.5776130, 1, 1.1974190
0015263, -0.9477128, -0.8615299, 1, 1.2807784
0015264, -1.0469135, -1.0624244, 2, 1.4915675
0015265, -0.9714139, -1.4049827, 2, 1.7081046
0015266, -0.9102800, -1.6652651, 2, 1.8978192
0015267, -0.8968340, -2.0515163, 2, 2.2389798
0015268, -0.6375594, -2.1515653, 2, 2.2440400
0015269, -0.3279497, -2.2439344, 2, 2.2677727
0015270, -0.0968118, -2.0632267, 2, 2.0654969
0015271, -0.0020498, -1.7130760, 2, 1.7130773
0015272, 0.1422673, -1.4280488, 3, 1.4351180
0015273, 0.3361101, -1.2240403, 3, 1.2693480
0015274, 0.4427308, -1.0002096, 3, 1.0938143
0015275, 0.4892856, -0.6993645, 3, 0.8535287
0015276, 0.5473385, -0.6299255, 3, 0.8344972
0015277, 0.6097506, -0.3150658, 4, 0.6863398
0015278, 1.0790424, -0.0529115, 4, 1.0803390
0015279, 1.5170130, 0.2823103, 5, 1.5430578
0015280, 1.7632986, 0.5889984, 5, 1.8590699
0015281, 1.8835480, 0.9233045, 5, 2.0976758
0015282, 2.0460398, 1.1420695, 5, 2.3432033
0015283, 2.0922258, 0.9521096, 5, 2.2986782
0015284, 1.9402355, 1.0388522, 5, 2.2008469
0015285, 1.7997864, 1.3532715, 5, 2.2517936
0015286, 1.3465438, 1.6664838, 6, 2.1425097
0015287, 0.6707038, 1.9779824, 6, 2.0886018
0015288, 0.2149704, 2.0108194, 6, 2.0222776
0015289, -0.2545767, 1.8333654, 7, 1.8509561
0015290, -0.7160044, 1.5219790, 7, 1.6819876
0015291, -1.0086920, 1.2159159, 7, 1.5798453
0015292, -1.2622250, 0.6369034, 8, 1.4138098
0015293, -0.9781820, 0.0245835, 8, 0.9784908
0015294, -1.1004899, 0.0986999, 8, 1.1049070
0015295, -1.0783513, 0.0605089, 8, 1.0800476
0015296, -1.2833570, 0.2330147, 8, 1.3043393
0015297, -1.1727399, 0.1106208, 8, 1.1779455
0015298, -0.9943777, 0.0049649, 8, 0.9943901
0015299, -0.8043774, -0.5143993, 1, 0.9547930
0015300, -0.4455887, -0.7284837, 2, 0.8539542
0015301, -0.0625086, -0.5693675, 2, 0.5727885
0015302, 0.1072095, -0.3619455, 3, 0.3774896
0015303, -0.0988124, -0.1008238, 2, 0.1411712
0015304, -0.5078129, -0.0608372, 1, 0.5114442
0015305, -0.8248338, -0.0719128, 1, 0.8279627
0015306, -0.9576026, -0.3680840, 1, 1.0259087
0015307, -0.9064592, -0.4617848, 1, 1.0173070
0015308, -0.6812857, -0.2314779, 1, 0.7195361
0015309, -0.4966986, -0.1184510, 1, 0.5106272
0015310, -0.4536507, -0.2951982, 1, 0.5412402
0015311, -0.3127527, -0.3360839, 2, 0.4590933
0015312, -0.2219344, -0.2070406, 1, 0.3035139
0015313, -0.2622860, -0.4033369, 2, 0.4811181
0015314, -0.3973005, -0.6277437, 2, 0.7429064
0015315, -0.4156936, -0.7255670, 2, 0.8362109
0015316, -0.2938232, -0.6762126, 2, 0.7372894
0015317, -0.3514780, -0.6286406, 2, 0.7202262
0015318, -0.3394036, -0.7479547, 2, 0.8213592
0015319, -0.2545873, -0.9592758, 2, 0.9924841
0015320, -0.1240823, -1.2756873, 2, 1.2817078
0015321, -0.0755709, -1.3561596, 2, 1.3582635
0015322, -0.1644657, -1.4540169, 2, 1.4632889
0015323, 0.1335501, -1.1247146, 3, 1.1326158
0015324, 0.2380077, -0.7229965, 3, 0.7611647
0015325, 0.3877098, -0.4333929, 3, 0.5815052
0015326, 0.3416889, -0.3125606, 4, 0.4630825
0015327, 0.2156668, -0.1840760, 4, 0.2835421
0015328, 0.1268399, -0.0406665, 4, 0.1331995
0015329, 0.1936831, 0.1650706, 5, 0.2544827
0015330, 0.2465325, 0.2287592, 5, 0.3363169
0015331, 0.2190364, 0.5293439, 6, 0.5728717
0015332, 0.2638081, 0.8695881, 6, 0.9087234
0015333, 0.2158866, 1.2060927, 6, 1.2252618
0015334, 0.1727978, 1.2009991, 6, 1.2133664
0015335, -0.1014961, 0.9596605, 7, 0.9650128
0015336, -0.4228391, 0.5898840, 7, 0.7257796
0015337, -0.6731537, 0.4549556, 8, 0.8124780
0015338, -0.6375291, 0.2656279, 8, 0.6906530
0015339, -0.3317340, 0.0965630, 8, 0.3455023
