longitude,    EOF1,    EOF2 
0000000, -0.0113870, 0.0103294
0000000, -0.0139639, 0.0057799
0000000, -0.0153100, 0.0026442
0000000, -0.0167328, -0.0019375
0000000, -0.0151047, -0.0069631
0000000, -0.0140545, -0.0096410
0000000, -0.0125278, -0.0123875
0000000, -0.0127826, -0.0141109
0000000, -0.0123010, -0.0152805
0000000, -0.0119209, -0.0162884
0000000, -0.0111738, -0.0169942
0000000, -0.0091990, -0.0177003
0000000, -0.0069289, -0.0177749
0000000, -0.0051996, -0.0169620
0000000, -0.0037578, -0.0150927
0000000, -0.0026925, -0.0128152
0000000, -0.0011532, -0.0116191
0000000, -0.0022856, -0.0108159
0000000, -0.0022133, -0.0102504
0000000, -0.0019537, -0.0105096
0000000, -0.0026710, -0.0121894
0000000, 0.0562554, 0.0829992
0000000, 0.0550757, 0.0838746
0000000, 0.0530394, 0.0820577
0000000, 0.0511279, 0.0791015
0000000, 0.0475985, 0.0756770
0000000, 0.0451071, 0.0733930
0000000, 0.0438784, 0.0717895
0000000, 0.0420886, 0.0686924
0000000, 0.0400337, 0.0673661
0000000, 0.0374923, 0.0641055
0000000, 0.0365622, 0.0617423
0000000, 0.0358974, 0.0608624
0000000, 0.0342782, 0.0595815
0000000, 0.0330912, 0.0585303
0000000, 0.0318934, 0.0581661
0000000, 0.0318183, 0.0585577
0000000, 0.0319325, 0.0584928
0000000, 0.0319933, 0.0586677
0000000, 0.0332263, 0.0597599
0000000, 0.0348974, 0.0609254
0000000, 0.0344589, 0.0622460
0000000, 0.0346789, 0.0646423
0000000, 0.0345088, 0.0670541
0000000, 0.0347377, 0.0696140
0000000, 0.0344724, 0.0721182
0000000, 0.0344032, 0.0735474
0000000, 0.0353301, 0.0750724
0000000, 0.0354749, 0.0761496
0000000, 0.0334449, 0.0765322
0000000, 0.0302155, 0.0769850
0000000, 0.0259152, 0.0772154
0000000, 0.0202353, 0.0785485
0000000, 0.0147791, 0.0785999
0000000, 0.0115990, 0.0776664
0000000, 0.0089840, 0.0778730
0000000, 0.0061735, 0.0772840
0000000, 0.0048837, 0.0761341
0000000, 0.0024281, 0.0746803
0000000, -0.0006472, 0.0733799
0000000, -0.0036348, 0.0724098
0000000, -0.0059913, 0.0688998
0000000, -0.0099879, 0.0641029
0000000, -0.0136075, 0.0595778
0000000, -0.0167394, 0.0552840
0000000, -0.0207397, 0.0520099
0000000, -0.0239376, 0.0493094
0000000, -0.0270631, 0.0475750
0000000, -0.0310949, 0.0446670
0000000, -0.0347481, 0.0419963
0000000, -0.0390759, 0.0405813
0000000, -0.0435863, 0.0396984
0000000, -0.0463778, 0.0380473
0000000, -0.0475852, 0.0366079
0000000, -0.0492242, 0.0343990
0000000, -0.0527473, 0.0316959
0000000, -0.0555333, 0.0268177
0000000, -0.0571646, 0.0226533
0000000, -0.0587372, 0.0200855
0000000, -0.0581498, 0.0185652
0000000, -0.0568235, 0.0179096
0000000, -0.0552248, 0.0164096
0000000, -0.0535673, 0.0146627
0000000, -0.0521152, 0.0119160
0000000, -0.0510543, 0.0093039
0000000, -0.0494198, 0.0080176
0000000, -0.0471380, 0.0059247
0000000, -0.0449162, 0.0032648
0000000, -0.0410039, -0.0006149
0000000, -0.0367277, -0.0026888
0000000, -0.0326603, -0.0040014
0000000, -0.0272758, -0.0058831
0000000, -0.0210323, -0.0049627
0000000, -0.0145518, -0.0049414
0000000, -0.0084718, -0.0047504
0000000, -0.0025487, -0.0045916
0000000, 0.0034676, -0.0048361
0000000, 0.0087585, -0.0046222
0000000, 0.0122882, -0.0075921
0000000, 0.0164018, -0.0095924
0000000, 0.0205276, -0.0104720
0000000, 0.0248768, -0.0114084
0000000, 0.0287516, -0.0119112
0000000, 0.0315565, -0.0121014
0000000, 0.0338637, -0.0124612
0000000, 0.0361539, -0.0129959
0000000, 0.0359239, -0.0126501
0000000, 0.0360253, -0.0121762
0000000, 0.0357649, -0.0108163
0000000, 0.0354778, -0.0103424
0000000, 0.0348507, -0.0099065
0000000, 0.0341665, -0.0096351
0000000, 0.0334978, -0.0094722
0000000, 0.0341325, -0.0096160
0000000, 0.0346250, -0.0097017
0000000, 0.0355725, -0.0104685
0000000, 0.0355055, -0.0122500
0000000, 0.0358578, -0.0150477
0000000, 0.0362021, -0.0165456
0000000, 0.0364913, -0.0170119
0000000, 0.0383321, -0.0167871
0000000, 0.0406688, -0.0152262
0000000, 0.0427349, -0.0138879
0000000, 0.0442072, -0.0111695
0000000, 0.0453177, -0.0095040
0000000, 0.0464240, -0.0076805
0000000, 0.0469284, -0.0084722
0000000, 0.0480513, -0.0101760
0000000, 0.0490886, -0.0115994
0000000, 0.0501690, -0.0125459
0000000, 0.0504208, -0.0139082
0000000, 0.0507737, -0.0151828
0000000, 0.0517564, -0.0162393
0000000, 0.0512966, -0.0174240
0000000, 0.0511776, -0.0176648
0000000, 0.0517920, -0.0172262
0000000, 0.0530343, -0.0176422
0000000, 0.0549554, -0.0179989
0000000, 0.0570168, -0.0163388
0000000, 0.0607210, -0.0134996
0000000, 0.0652032, -0.0108617
0000000, 0.0702854, -0.0060631
0000000, 0.0751401, -0.0014697
0000000, 0.0805159, 0.0033014
0000000, 0.0856043, 0.0079439
0000000, 0.0897192, 0.0128521
0000000, 0.0931226, 0.0163738
0000000, 0.0961742, 0.0185231
0000000, 0.0973303, 0.0186860
0000000, 0.0984420, 0.0198136
0000000, 0.0999861, 0.0190754
0000000, 0.0997691, 0.0182164
0000000, 0.0997232, 0.0171815
0000000, 0.0999096, 0.0150661
0000000, 0.0995517, 0.0128152
0000000, 0.0985191, 0.0091274
0000000, 0.0968471, 0.0054674
0000000, 0.0947622, 0.0022230
0000000, 0.0923544, -0.0006707
0000000, 0.0885812, -0.0036079
0000000, 0.0851459, -0.0061459
0000000, 0.0803603, -0.0065073
0000000, 0.0732158, -0.0050494
0000000, 0.0687168, -0.0052611
0000000, 0.0638529, -0.0059272
0000000, 0.0585143, -0.0067305
0000000, 0.0543805, -0.0059805
0000000, 0.0509087, -0.0033115
0000000, 0.0470056, -0.0016019
0000000, 0.0435119, 0.0001021
0000000, 0.0400026, 0.0011342
0000000, 0.0371615, 0.0020275
0000000, 0.0346141, 0.0029812
0000000, 0.0328287, 0.0043065
0000000, 0.0326027, 0.0059891
0000000, 0.0323342, 0.0083896
0000000, 0.0332077, 0.0096627
0000000, 0.0358891, 0.0118939
0000000, 0.0383932, 0.0158213
0000000, 0.0412505, 0.0200121
0000000, 0.0430130, 0.0237181
0000000, 0.0449085, 0.0280183
0000000, 0.0472628, 0.0324741
0000000, 0.0475211, 0.0378566
0000000, 0.0470507, 0.0432046
0000000, 0.0470905, 0.0497280
0000000, 0.0473013, 0.0544110
0000000, 0.0480088, 0.0579878
0000000, 0.0485365, 0.0611913
0000000, 0.0493632, 0.0640253
0000000, 0.0504245, 0.0657187
0000000, 0.0519898, 0.0674280
0000000, 0.0531959, 0.0681488
0000000, 0.0556626, 0.0681666
0000000, 0.0577283, 0.0700246
0000000, 0.0583007, 0.0716701
0000000, 0.0578157, 0.0739039
0000000, 0.0572559, 0.0756526
0000000, 0.0571124, 0.0774306
0000000, 0.0572402, 0.0795663
0000000, 0.0569296, 0.0813606
