,year,month,day,RMM1,RMM2,phase,amplitude
2012-09-19,2012,9,19,0.94727802,0.00160867663,5,0.94727939
2012-09-20,2012,9,20,1.0670862,-0.14817519,4,1.0773249
2012-09-21,2012,9,21,1.007128,-0.1178994,4,1.0140054
2012-09-22,2012,9,22,0.89827359,0.0898062438,5,0.90275168
2012-09-23,2012,9,23,1.0275971,0.34154302,5,1.08287
2012-09-24,2012,9,24,1.13445,0.21670181,5,1.1549616
2012-09-25,2012,9,25,0.90535736,0.24602281,5,0.93818927
2012-09-26,2012,9,26,0.76993662,0.34927616,5,0.84545624
2012-09-27,2012,9,27,0.97667193,0.72659439,5,1.2173034
2012-09-28,2012,9,28,1.1118792,0.98219478,5,1.4835707
2012-09-29,2012,9,29,1.4206458,1.0449238,5,1.7635477
2012-09-30,2012,9,30,1.4537003,1.1281681,5,1.8401108
2012-10-01,2012,10,1,1.2465571,1.4971164,6,1.9481434
2012-10-02,2012,10,2,1.1313558,1.5501577,6,1.9191025
2012-10-03,2012,10,3,1.028671,1.3992519,6,1.7366836
2012-10-04,2012,10,4,0.96792537,1.1280369,6,1.4863871
2012-10-05,2012,10,5,1.0125314,0.67107224,5,1.2147254
2012-10-06,2012,10,6,0.81996667,0.54416758,5,0.98410553
2012-10-07,2012,10,7,0.59450263,0.83388716,6,1.02411
2012-10-08,2012,10,8,0.50262147,1.014524,6,1.1322047
2012-10-09,2012,10,9,0.33895075,0.56538445,6,0.65920192
2012-10-10,2012,10,10,0.2016864,0.26023263,6,0.32923916
2012-10-11,2012,10,11,0.12834066,0.0236495286,5,0.13050143
2012-10-12,2012,10,12,-0.0290991832,-0.144501,2,0.14740184
2012-10-13,2012,10,13,-0.22858894,-0.26055777,2,0.34661686
2012-10-14,2012,10,14,-0.5165776,-0.33072954,1,0.61337954
2012-10-15,2012,10,15,-0.74220139,-0.30620068,1,0.80288345
2012-10-16,2012,10,16,-0.78211951,-0.18511762,1,0.80372846
2012-10-17,2012,10,17,-1.0849994,-0.41668689,1,1.1622615
2012-10-18,2012,10,18,-1.3767718,-0.38953927,1,1.4308184
2012-10-19,2012,10,19,-1.329131,-0.44642493,1,1.4021
2012-10-20,2012,10,20,-1.1065403,-0.52483851,1,1.2246988
2012-10-21,2012,10,21,-1.0288392,-0.78284711,1,1.2928108
